Nome: ALTA FLORESTA
Codigo Estacao: A924
Latitude: -10.07722221
Longitude: -56.17916666
Altitude: 291.85
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;978,026882;25,386828;6,4;1,429973;
2020-02-29;26;117,2;978,436494;24,915661;5,3;1,306178;
2020-03-31;31;100,2;978,018011;25,489247;4;1,403898;
2020-04-30;30;82,6;979,011667;25,55125;6,2;1,26125;
2020-05-31;7;63,6;980,113979;24,798925;4,6;1,508333;
2020-06-30;0;0;979,82875;24,159306;6,1;1,619028;
2020-07-31;null;null;979,1915;23,8865;6,1;1,708833;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

