Nome: CARLINDA
Codigo Estacao: A926
Latitude: -9.97055554
Longitude: -55.82749999
Altitude: 293.71
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;24;308,8;977,772043;24,715726;7;,535887;
2020-02-29;24;382,6;978,196983;24,282184;5,8;,290086;
2020-03-31;25;415,8;977,799193;24,746371;6,5;,288441;
2020-04-30;22;127;978,765972;25,065833;4,8;,213889;
2020-05-31;6;46,2;979,82715;25,077688;5;,227554;
2020-06-30;2;1,2;979,562917;25,512778;7,6;,542083;
2020-07-31;0;0;979,173118;25,847177;5,3;,547043;
2020-08-31;3;2,4;978,53414;26,80914;5,4;,51129;
2020-09-30;7;156,6;977,419444;27,220417;11,4;,484028;
2020-10-31;14;69,8;976,943952;25,928495;5,9;,350538;
2020-11-30;6;null;null;null;5,1;null;
2020-12-31;null;null;null;null;6,4;null;

