Nome: BRASNORTE (NOVO MUNDO)
Codigo Estacao: A927
Latitude: -12.52194443
Longitude: -58.23138888
Altitude: 426.2
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;27;110,6;962,008064;25,129435;10,2;,115995;
2020-02-29;26;347,6;962,590661;24,828736;7,3;,20115;
2020-03-31;26;298,8;962,222849;25,213844;7,6;,158602;
2020-04-30;null;null;963,842361;25,210833;6,2;,089722;
2020-05-31;7;26,6;965,270968;23,661425;5,5;,08172;
2020-06-30;0;0;964,663056;25,26625;7;,278194;
2020-07-31;1;16,2;964,406048;25,601075;8,1;,411559;
2020-08-31;null;null;null;26,384921;6,4;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

