Nome: NOVA MARINGA
Codigo Estacao: A928
Latitude: -13.0386111
Longitude: -57.09222221
Altitude: 334.36
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;221;972,513978;28,131989;6,9;1,351613;
2020-02-29;25;531,4;973,171839;31,043247;6,7;1,07342;
2020-03-31;14;184,2;972,727285;33,187634;4,6;,966801;
2020-04-30;10;56;974,440417;33,620694;5,8;1,025694;
2020-05-31;7;30,8;976,064785;31,774866;6,4;1,123387;
2020-06-30;0;0;975,426528;24,584583;6,5;1,174028;
2020-07-31;0;0;975,150941;24,090726;6,5;1,221909;
2020-08-31;0;0;974,3875;25,187097;7;1,439785;
2020-09-30;null;null;null;null;5,3;null;
2020-10-31;12;92,4;972,035349;29,082796;8,6;1,42836;
2020-11-30;7;null;null;33,525595;6,5;null;
2020-12-31;null;null;null;null;null;null;

