Nome: GAUCHA DO NORTE
Codigo Estacao: A930
Latitude: -13.18472221
Longitude: -53.2575
Altitude: 375.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;279,6;968,112763;26,056656;4,2;1,077297;
2020-02-29;17;197,8;968,833209;25,801989;6,6;1,262219;
2020-03-31;22;242,2;968,427999;25,904581;6,1;1,080532;
2020-04-30;13;187,8;969,879167;26,375278;6;1,33;
2020-05-31;1;null;null;26,125245;4,7;null;
2020-06-30;null;null;null;null;5,4;null;
2020-07-31;null;null;null;null;4,9;null;
2020-08-31;null;null;null;null;6,1;null;
2020-09-30;null;null;null;null;5,5;null;
2020-10-31;null;null;null;null;5;null;
2020-11-30;null;null;null;null;4,7;null;
2020-12-31;null;null;null;null;4,3;null;

