Nome: PORTO ESTRELA
Codigo Estacao: A935
Latitude: -15.32472221
Longitude: -57.22583332
Altitude: 147.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;179,2;992,584677;27,888575;5,7;1,079301;
2020-02-29;25;333,6;993,748276;26,336925;4,5;,970115;
2020-03-31;15;188;993,180242;27,574866;5,1;,837366;
2020-04-30;13;71,2;995,534305;26,42875;4,2;,887917;
2020-05-31;15;120,6;997,588306;23,000403;5,2;,743414;
2020-06-30;8;1,6;996,713195;23,751944;0;0;
2020-07-31;1;,2;996,648522;23,329973;0;0;
2020-08-31;0;0;995,744086;25,20578;0;0;
2020-09-30;0;0;993,798889;28,393889;0;0;
2020-10-31;5;35,4;992,324194;29,34207;0;0;
2020-11-30;18;48,6;992,308472;28,531111;0;0;
2020-12-31;null;null;992,335215;27,509005;0;0;

