Nome: SALTO DO CEU
Codigo Estacao: A936
Latitude: -15.12472221
Longitude: -58.12722221
Altitude: 300.83
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;3;1;975,885081;26,699059;4,6;1,302016;
2020-02-29;null;null;976,859483;25,473563;4,8;1,072845;
2020-03-31;11;103;976,539919;26,345833;3,9;,996102;
2020-04-30;7;62,2;979,017639;24,906528;3,5;,931945;
2020-05-31;5;157,6;980,820699;21,79328;4,9;1,129704;
2020-06-30;0;0;979,903889;22,912222;4;1,187917;
2020-07-31;null;null;null;22,781944;4,1;null;
2020-08-31;null;null;null;null;5,1;null;
2020-09-30;null;null;null;null;5,4;null;
2020-10-31;null;null;null;null;6,8;null;
2020-11-30;null;null;null;null;6,5;null;
2020-12-31;null;null;null;null;5,4;null;

