Nome: VILHENA
Codigo Estacao: A938
Latitude: -12.73499999
Longitude: -60.15777777
Altitude: 583.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;27;303,4;945,586022;24,559543;5,8;1,664651;
2020-02-29;25;466,6;946,056178;24,240374;4,5;1,493103;
2020-03-31;25;251,4;945,763575;24,573118;5,9;1,436694;
2020-04-30;15;156,2;947,445278;24,951944;4,9;1,795972;
2020-05-31;6;73,2;948,719086;23,438306;6;1,947849;
2020-06-30;5;17,4;948,196667;24,378472;5,6;1,795;
2020-07-31;1;,2;947,897849;25,246237;5,2;1,860215;
2020-08-31;2;3,2;947,399059;25,891398;5,9;1,941263;
2020-09-30;4;10,8;946,219167;27,539583;6,4;1,6275;
2020-10-31;3;32,2;945,55578;25,588844;null;null;
2020-11-30;null;null;945,015139;26,197917;null;null;
2020-12-31;23;84,2;945,047715;24,255242;null;null;

