Nome: CACOAL
Codigo Estacao: A939
Latitude: -11.44583333
Longitude: -61.43416666
Altitude: 183.53
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;258,4;988,709274;26,889919;4,6;1,493817;
2020-02-29;21;393,4;989,233046;26,487069;4,9;1,400431;
2020-03-31;23;177;988,882258;26,398118;4,7;1,254839;
2020-04-30;15;81,6;990,372222;26,804167;4,5;1,275833;
2020-05-31;9;140,2;991,826344;25,177419;5,6;1,265323;
2020-06-30;7;4,8;991,165;25,91;4,3;1,223472;
2020-07-31;2;2,8;990,687097;26,357661;3,9;1,288306;
2020-08-31;0;0;990,144892;27,102823;5,3;1,442608;
2020-09-30;1;18,2;988,784722;29,219583;5,5;1,294583;
2020-10-31;15;112,2;988,381317;27,816263;5,6;1,463172;
2020-11-30;17;237;987,839028;27,541111;5,6;1,403611;
2020-12-31;23;263;988,113844;26,536022;6,3;1,410081;

