Nome: CACERES
Codigo Estacao: A941
Latitude: -16.07472221
Longitude: -57.69305555
Altitude: 123.53
Situacao: Fechada
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;81,6;995,680914;28,63965;3,9;1,423656;
2020-02-29;24;314,6;996,846408;26,721839;5,1;1,32227;
2020-03-31;12;159,6;996,472522;27,613336;4,5;1,150684;
2020-04-30;6;17,8;999,060278;26,509583;4,1;1,154861;
2020-05-31;13;156,6;1001,092473;23,150403;3,4;1,115995;
2020-06-30;1;,2;1000,115972;24,31;3,4;1,243472;
2020-07-31;1;10;999,944086;24,04207;4,4;1,22379;
2020-08-31;1;,2;998,826478;26,117876;3,7;1,267876;
2020-09-30;0;0;996,928611;28,978472;3,9;1,290833;
2020-10-31;8;87;995,463979;30,197581;5,9;1,504167;
2020-11-30;null;null;995,55875;29,195278;4,3;1,344861;
2020-12-31;null;null;995,594624;28,01707;7;1,444624;

