Nome: SAO JOSE DO XINGU
Codigo Estacao: A942
Latitude: -10.48416666
Longitude: -52.37249999
Altitude: 300
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;26;253,8;977,389417;25,601765;7;1,618049;
2020-02-29;19;244;977,775612;25,865043;6,3;1,375325;
2020-03-31;21;255,4;977,538288;25,627802;5,1;1,517261;
2020-04-30;16;237,2;978,421528;25,792083;6;1,153611;
2020-05-31;5;45,4;979,517339;25,749328;3,4;1,086156;
2020-06-30;0;0;979,602222;25,275833;4,1;1,236667;
2020-07-31;0;0;979,209946;25,427688;4,3;1,43871;
2020-08-31;1;1;978,287231;27,079973;4,9;1,587097;
2020-09-30;1;12,8;977,002234;28,49276;5,5;1,717198;
2020-10-31;14;145,4;976,206516;26,985869;10,1;1,853635;
2020-11-30;19;104;976,267272;26,13599;7,8;1,644312;
2020-12-31;22;220,8;976,56603;25,458567;8,5;1,482726;

