Nome: LARANJEIRAS DO SUL
Codigo Estacao: B804
Latitude: -25.36888888
Longitude: -52.39194444
Altitude: 835
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;140;918,755376;21,812903;4,8;1,544489;
2020-02-29;9;91,2;920,367098;21,729885;5,7;1,672845;
2020-03-31;11;76,2;921,821102;20,409409;5,7;1,584946;
2020-04-30;7;44,6;923,269028;16,7425;5,4;1,525278;
2020-05-31;18;180,6;923,719355;13,621909;5,1;1,666936;
2020-06-30;16;135;923,134306;16,37375;7,3;2,028472;
2020-07-31;16;70,6;923,568817;14,637769;5,6;1,880645;
2020-08-31;13;175,8;924,150269;15,649059;5,5;null;
2020-09-30;5;75,6;921,83;20,579028;5,9;1,842222;
2020-10-31;3;null;920,844483;null;5,9;null;
2020-11-30;null;null;null;null;7,9;null;
2020-12-31;1;null;null;null;4,8;null;

