Nome: COLOMBO
Codigo Estacao: B806
Latitude: -25.322464
Longitude: -49.157733
Altitude: 950
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;null;907,444911;21,068432;5,2;1,352609;
2020-02-29;13;null;909,449356;19,345707;4,4;1,294233;
2020-03-31;13;33;910,891105;19,002157;3,5;1,222573;
2020-04-30;8;35,6;911,674356;16,892148;4,5;1,28814;
2020-05-31;7;null;911,749173;13,88707;5,9;1,3673;
2020-06-30;9;null;912,252401;15,08734;6,8;1,555267;
2020-07-31;13;38,6;912,283816;14,256202;5,8;1,630604;
2020-08-31;13;154,2;913,440798;13,960228;4,4;1,360341;
2020-09-30;1;null;911,573404;17,705155;8,8;1,640129;
2020-10-31;8;null;909,440883;18,090292;5,3;1,459491;
2020-11-30;15;null;909,558714;18,251755;7;1,391447;
2020-12-31;18;139,8;908,076242;20,014795;5,2;1,433208;

