Nome: BELO HORIZONTE - CERCADINHO
Codigo Estacao: F501
Latitude: -19.97999999
Longitude: -43.95861111
Altitude: 1199.55
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;28;966,6;880,165323;21,526613;13,5;4,032124;
2020-02-29;25;407;881,927443;20,916523;11,9;4,444109;
2020-03-31;16;304,8;882,009677;19,995833;16,4;5,506989;
2020-04-30;12;97;883,238195;19,404722;12,5;5,201389;
2020-05-31;10;54,6;884,273656;17,008602;13,1;4,741264;
2020-06-30;4;2,2;885,555972;17,87875;12,6;4,548194;
2020-07-31;7;12;885,322573;17,751149;16;4,711038;
2020-08-31;3;12;885,357124;16,971774;14,8;6,253091;
2020-09-30;4;11,6;884,166377;21,417784;14,6;5,492959;
2020-10-31;13;84,8;881,267204;21,199731;15,9;5,873118;
2020-11-30;12;181,2;881,212192;20,262083;13,9;4,95055;
2020-12-31;20;264,4;880,910887;21,514516;12,4;4,177811;

